,,Statistics_GdCl3_all_defo,,,,,,,,,,,,,,,
,,#Data set,Flow rate,%-gated,Events,Median Area [µm≤],Mode Area [µm≤],Mean Area [µm≤],SD Area [µm≤],Median Deformation,Mode Deformation,Mean Deformation,SD Deformation,Median Young's Modulus [kPa],Mode Young's Modulus [kPa],Mean Young's Modulus [kPa],SD Young's Modulus [kPa]
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,treatment,Philipp_GdCl3 - M1,0.06,2.9576,895,63.4066,62.0765,64.3991,6.42771,0.0474297,0.0420398,0.0511792,0.0185213,0.673477,0.653289,0.712693,0.204555
,,030117_Gela_GdCl3_1st - M1,0.06,6.84642,876,64.9672,62.5221,65.5847,5.9174,0.0521869,0.0462845,0.0546781,0.0168637,0.654881,0.597107,0.680737,0.175171
,,030217_Maik_GdCl3_2nd - M1,0.06,8.38016,1208,65.025,65.0716,65.5457,4.9306,0.0627809,0.0643736,0.0630093,0.0136396,0.587897,0.567321,0.59913,0.084486
,,090417_Gela_GdCl3_1h - M1,0.06,9.76308,1978,65.0828,64.7444,65.675,5.86728,0.0402944,0.0376973,0.0436817,0.0158778,0.784595,0.710914,0.805677,0.196954
,,101017_Martin_GdCl3 - M1,0.06,8.69421,1839,68.204,69.0913,68.3053,6.58181,0.0568012,0.0556867,0.0585019,0.0177678,0.658259,0.6641,0.686172,0.173856
,,111317_Martin_GdCl3_1h - M1,0.06,1.71305,687,62.3662,58.8072,63.9105,7.26278,0.0427947,0.038251,0.0452253,0.0171371,0.735574,0.649013,0.772197,0.256726
,,,,,,,,,,,,,,,,,
,control,Philipp_control - M1,0.06,4.79973,1444,65.314,65.2066,66.0054,5.86967,0.0550015,0.0467841,0.0572364,0.0187101,0.643706,0.559104,0.670079,0.161038
,,030217_Maik_Control_2nd - M1,0.06,11.2663,1460,65.2562,64.4822,65.6765,4.89635,0.0677123,0.072627,0.0660362,0.0160915,0.569147,0.554495,0.593127,0.110376
,,030117_Gela_Control_1st - M1,0.06,4.58982,917,65.4874,66.2701,65.8275,6.06923,0.0568752,0.0554821,0.0584164,0.017262,0.62509,0.592903,0.649746,0.139752
,,090417_Gela_control_1h - M2,0.06,20.7202,3976,66.1232,65.5596,66.5699,5.29201,0.0489703,0.0485229,0.0515536,0.016126,0.696949,0.632903,0.717275,0.155001
,,101017_Martin_control - M4,0.06,2.12294,383,65.0828,65.9607,65.7029,6.80929,0.0510671,0.0517339,0.0545827,0.0183319,0.657071,0.615651,0.692179,0.207012
,,111317_Martin_control - M1,0.06,1.99303,612,64.2158,60.5355,65.2181,7.15598,0.04409,0.0495781,0.0460719,0.017926,0.737893,0.661242,0.789769,0.27686
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Statistics_GdCl3_Monos_defo,,,,,,,,,,,,,,,
,,#Data set,Flow rate,%-gated,Events,Median Area [µm≤],Mode Area [µm≤],Mean Area [µm≤],SD Area [µm≤],Median Deformation,Mode Deformation,Mean Deformation,SD Deformation,Median Young's Modulus [kPa],Mode Young's Modulus [kPa],Mean Young's Modulus [kPa],SD Young's Modulus [kPa]
