"Subject" "Date" "Unique_ID" "Cell_Type" "Contrast_Agent" "Protocol" "Parameter" "Statistic" "Value"
"1" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 65.5
"2" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 6.69
"3" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 56.3
"4" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 77.7
"5" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 5.16
"6" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.61
"7" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 2.99
"8" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 8.2
"9" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 0.96
"10" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.16
"11" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.76
"12" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.23
"13" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 67.2
"14" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 5.97
"15" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 57.8
"16" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 77.4
"17" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 5.27
"18" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.64
"19" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 3.06
"20" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 8.41
"21" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 0.97
"22" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.18
"23" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.76
"24" "Gela" "030117" "Gela030117MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.23
"25" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 64
"26" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 4.19
"27" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 57.4
"28" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 71.2
"29" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 5.14
"30" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.56
"31" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 3.15
"32" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 8.27
"33" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 0.95
"34" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.16
"35" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.75
"36" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.19
"37" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 64.9
"38" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 6.28
"39" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 56.5
"40" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 76.8
"41" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 5.51
"42" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 2.11
"43" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.46
"44" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 9.55
"45" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 0.97
"46" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.28
"47" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.73
"48" "Maik" "030217" "Maik030217MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.39
"49" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 64
"50" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 5.3
"51" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 56.9
"52" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 73.4
"53" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 5.05
"54" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.78
"55" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 2.9
"56" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 8.76
"57" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 0.97
"58" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.17
"59" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.74
"60" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.25
"61" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 62.8
"62" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 4.36
"63" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 56.8
"64" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 70.8
"65" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 4.49
"66" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.55
"67" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.6
"68" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 7.76
"69" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 1.02
"70" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.17
"71" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.77
"72" "AngelaS" "030317" "AngelaS030317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.33
"73" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 63.2
"74" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 4.96
"75" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 56.7
"76" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 72
"77" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 5.07
"78" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.71
"79" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 2.85
"80" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 8.91
"81" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 0.96
"82" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.16
"83" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.72
"84" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.25
"85" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 66.1
"86" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 7.1
"87" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "5%" 56.3
"88" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "95%" 78.6
"89" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "Mean" 4.82
"90" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "SD" 1.7
"91" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "5%" 2.43
"92" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Deformation" "95%" 8.33
"93" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "Mean" 1.02
"94" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "SD" 0.21
"95" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "5%" 0.76
"96" "Gela" "061317" "Gela061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "E" "95%" 1.41
"97" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "Mean" 65.8
"98" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "SD" 4.98
"99" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "5%" 58.4
"100" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Area" "95%" 74.4
"101" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "Mean" 5.19
"102" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "SD" 1.69
"103" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "5%" 2.91
"104" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "Deformation" "95%" 8.47
"105" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "Mean" 0.97
"106" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "SD" 0.2
"107" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "5%" 0.74
"108" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Control" "E" "95%" 1.24
"109" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "Mean" 65.9
"110" "Maik" "061317" "Maik061317MonocytesDotarem" "Monocytes" "Dotarem" "Treatment" "Area" "SD" 5.57
